Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Buy Bo : Current,Custom_SKU,Match,Google_Search_Link,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List
Kate Spade New York Crystal Park Circle Rose Tea Double Old Fashion Set,362508.0,359066.0,46.99,10.0,46.99,$60.00 ,,-,0.0,B07YND2124,0882864848192,882864848192,B0BZSLZZW5,Kate Spade New York,yes,,GB882864848192,N,https://www.google.com/search?q=882864848192+Kate+Spade+New+York+Crystal+Park+Circle+Rose+Tea+Double+Old+Fashion+Set&tbm=shop,https://www.amazon.com/dp/B07YND2124?psc=1,Not Found,Not Found,,,,,N
"Kate Spade New York Women's Kate Spade Female Optical Style Dollie Rectangular Reading Glasses, Havana Blue/Demo Lens, 53mm, 15mm + 0",159959.0,166304.0,30.7,4.0,27.6,$68.00 ,$31.75 ,A24G5KE2858J1Q,4.0,B09SNRYQ6V,0716736399232,716736399232,B09SS76DWB,Kate Spade New York,no,,GB716736399232,N,https://www.google.com/search?q=716736399232+Kate+Spade+New+York+Women%27s+Kate+Spade+Female+Optical+Style+Dollie+Rectangular+Reading+Glasses%2C+Havana+Blue%2FDemo+Lens%2C+53mm%2C+15mm+%2B+0&tbm=shop,https://www.amazon.com/dp/B09SNRYQ6V?psc=1,Not Found,Not Found,,,,,N
Kate Spade New York Leila Pebbled Leather Clutch Bag in Black,417740.0,496581.0,43.0,17.0,42.94,$84.99 ,$42.98 ,A6SA3YQONVT1,4.0,B0B4HLR3YY,0196021022708,196021022708,,Kate Spade New York,yes,,GB196021022708,N,https://www.google.com/search?q=196021022708+Kate+Spade+New+York+Leila+Pebbled+Leather+Clutch+Bag+in+Black&tbm=shop,https://www.amazon.com/dp/B0B4HLR3YY?psc=1,Not Found,Not Found,,,,,N
Kate Spade Tinsel Phone Wallet (Mitten pink),273985.0,507297.0,84.93,1.0,79.95,$147.98 ,$78.30 ,"AZB3X1Q0X22QL, A1EUAW10N8919K",6.0,B0CLFY27Y4,0196021372131,196021372131,B0BQT1WYJT,Kate Spade New York,no,,GB196021372131,N,https://www.google.com/search?q=196021372131+Kate+Spade+Tinsel+Phone+Wallet+%28Mitten+pink%29&tbm=shop,https://www.amazon.com/dp/B0CLFY27Y4?psc=1,Not Found,Not Found,,,,,N
"Kate Spade New York Larabee Dot 20-Piece Flatware Set, 4.30 LB, Metallic",237861.0,263689.0,245.0,5.0,245.0,$280.00 ,$254.95 ,A1S6914ST7IGDS,1.0,B07XCPNGKQ,0882864778741,882864778741,B09VLXDJRK,Kate Spade New York,yes,,GB882864778741,Y,https://www.google.com/search?q=882864778741+Kate+Spade+New+York+Larabee+Dot+20-Piece+Flatware+Set%2C+4.30+LB%2C+Metallic&tbm=shop,https://www.amazon.com/dp/B07XCPNGKQ?psc=1,"https://www.google.com/shopping/product/6813510160524082987/offers?q=882864778741&prds=cid:6813510160524082987,cond:1",Zola,254.99,433.48,481.93,,N
"Kate Spade New York Silver South Street 4"" X 6"" Oval Frame, 0.80 LB",392471.0,372862.0,43.2,,43.2,$50.00 ,$45.00 ,A1N1E0CNRP3MQ9,1.0,B0948BWXR5,0882864863591,882864863591,B09PW54QYH,Kate Spade New York,yes,,GB882864863591,Y,https://www.google.com/search?q=882864863591+Kate+Spade+New+York+Silver+South+Street+4%22+X+6%22+Oval+Frame%2C+0.80+LB&tbm=shop,https://www.amazon.com/dp/B0948BWXR5?psc=1,"https://www.google.com/shopping/product/17235885076427645081/offers?q=882864863591&prds=cid:17235885076427645081,cond:1",Designer Optics - Authorized Dealer,93.05,158.19,175.86,,N
"Kate Spade New York Gold South Street 5"" X 7"" Wavy Frame, 1.00 LB",351291.0,350190.0,75.0,4.0,75.0,$75.00 ,,-,0.0,B0948P3CRD,0882864863607,882864863607,B09PW54QYH,Kate Spade New York,yes,,GB882864863607,N,https://www.google.com/search?q=882864863607+Kate+Spade+New+York+Gold+South+Street+5%22+X+7%22+Wavy+Frame%2C+1.00+LB&tbm=shop,https://www.amazon.com/dp/B0948P3CRD?psc=1,Not Found,Not Found,,,,,N
"Kate Spade New York Silver South Street 5"" X 7"" Wavy Frame, 1.00 LB",346406.0,352413.0,60.0,,60.0,$94.76 ,,-,0.0,B09488S2N5,0882864863614,882864863614,B09PW54QYH,Kate Spade New York,yes,,GB882864863614,Y,https://www.google.com/search?q=882864863614+Kate+Spade+New+York+Silver+South+Street+5%22+X+7%22+Wavy+Frame%2C+1.00+LB&tbm=shop,https://www.amazon.com/dp/B09488S2N5?psc=1,"https://www.google.com/shopping/product/4014423086322061617/offers?q=882864863614&prds=cid:4014423086322061617,cond:1",Zola,64.99,110.48,122.83,,N
"Kate Spade Gemma Wallet on a Chain Crossbody Handbag, Polished Blue, One Size",198107.0,153274.0,84.94,4.0,84.94,$174.00 ,$85.95 ,A6SA3YQONVT1,3.0,B0CL35S9FD,0196021372575,196021372575,B09XC5V427,Kate Spade New York,no,,GB196021372575,Y,https://www.google.com/search?q=196021372575+Kate+Spade+Gemma+Wallet+on+a+Chain+Crossbody+Handbag%2C+Polished+Blue%2C+One+Size&tbm=shop,https://www.amazon.com/dp/B0CL35S9FD?psc=1,"https://www.google.com/shopping/product/6559637163131110341/offers?q=196021372575&prds=cid:6559637163131110341,cond:1",Not Found,,,,,N
Kate Spade Gemma Wallet on a Chain Crossbody Handbag (Winter green),199532.0,152317.0,,,174.0,$188.00 ,$174.00 ,A316X216AI9M56,1.0,B09XC3JYKW,0196021072369,196021072369,B09XC5V427,Kate Spade New York,no,,GB196021072369,N,https://www.google.com/search?q=196021072369+Kate+Spade+Gemma+Wallet+on+a+Chain+Crossbody+Handbag+%28Winter+green%29&tbm=shop,https://www.amazon.com/dp/B09XC3JYKW?psc=1,Not Found,Not Found,,,,,N
Kate Spade Gemma Wallet On Chain Leather Crossbody Bag Purse Handbag (Fresh Blueberry),199006.0,153798.0,96.53,3.0,88.0,$129.99 ,$83.70 ,A20M7UYPSHS2WS,4.0,B0C54CMR82,0196021272097,196021272097,B09XC5V427,Kate Spade New York,yes,,GB196021272097,Y,https://www.google.com/search?q=196021272097+Kate+Spade+Gemma+Wallet+On+Chain+Leather+Crossbody+Bag+Purse+Handbag+%28Fresh+Blueberry%29&tbm=shop,https://www.amazon.com/dp/B0C54CMR82?psc=1,"https://www.google.com/shopping/product/6455751868513252736/offers?q=196021272097&prds=cid:6455751868513252736,cond:1",Not Found,,,,,N
