Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Custom_SKU,Google_Search_Link,Match,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List,Black_list,PID
"Birkenstock Milano Smooth Leather, Unisex Adults' Sandals, Black, 4.5 UK Slim (37 EU)",238279,283794,,,135,$135.00,$135.00,A1C20BH4U0AX41,1,B000MT3K56,"0736399124941, 4013871079026, 4013871638810","0736399124941, 4013871079026, 4013871638810",B003AM95EM,Birkenstock,no,"GB0736399124941, 4013871079026, 4013871638810",https://www.google.com/search?q=0736399124941%2C+4013871079026%2C+4013871638810+Birkenstock+Milano+Smooth+Leather%2C+Unisex+Adults%27+Sandals%2C+Black%2C+4.5+UK+Slim+%2837+EU%29&tbm=shop,N,https://www.amazon.com/dp/B000MT3K56?psc=1,"https://www.google.com/shopping/product/1998128542919021046/offers?q=0736399124941&prds=cid:1998128542919021046,cond:1",Not Found,,,,,N,Y,none
"Birkenstock Arizona Shearling Suede Leather Unisex Shoes Size 10, Color: Star Core Black-Black",221987,220441,159.9,1,159.9,$159.90,,-,0,B0CRJQ3P5D,809410340238,809410340238,B01NCNBCCK,Birkenstock,yes,GB0809410340238,https://www.google.com/search?q=0809410340238+Birkenstock+Arizona+Shearling+Suede+Leather+Unisex+Shoes+Size+10%2C+Color%3A+Star+Core+Black-Black&tbm=shop,N,https://www.amazon.com/dp/B0CRJQ3P5D?psc=1,Not Found,Not Found,,,,,N,Y,none
Birkenstock Women's Arizona Double Buckle Cork Sandals White Size 37N,223184,219478,110,1,110,$143.92,$110.00,A1C20BH4U0AX41,1,B008YFSUPA,736399072204,736399072204,B01NCNBCCK,Birkenstock,no,GB0736399072204,https://www.google.com/search?q=0736399072204+Birkenstock+Women%27s+Arizona+Double+Buckle+Cork+Sandals+White+Size+37N&tbm=shop,Y,https://www.amazon.com/dp/B008YFSUPA?psc=1,"https://www.google.com/shopping/product/12076951367671303082/offers?q=0736399072204&prds=cid:12076951367671303082,cond:1",BIRKENSTOCK,77.45,131.66,146.38,,N,Y,none
Birkenstock Unisex Clogs Super-Birki - Red - Woman 12-12.5 / Men 10-10.5,163455,160843,,,99.99,$99.99,$113.26,A2NAYECE018437,1,B000KCXCAI,4.01E+12,4013871267287,B00I84NRP0,Birkenstock,no,GB4013871267287,https://www.google.com/search?q=4013871267287+Birkenstock+Unisex+Clogs+Super-Birki+-+Red+-+Woman+12-12.5+%2F+Men+10-10.5&tbm=shop,N,https://www.amazon.com/dp/B000KCXCAI?psc=1,"https://www.google.com/shopping/product/1365938531812058707/offers?q=4013871267287&prds=cid:1365938531812058707,cond:1",BIRKENSTOCK,85.9,146.03,162.35,,N,Y,none
"Birkenstock Barbados Eva Unisex Shoes Size 41, Color: Bold Jade/Faded Green-Green",118207,197166,34.9,1,34.9,$34.90,$34.90,A8J09E2FDMZCY,1,B0C7KJM93W,809410224545,809410224545,B07ZS6Y3S7,Birkenstock,no,GB0809410224545,https://www.google.com/search?q=0809410224545+Birkenstock+Barbados+Eva+Unisex+Shoes+Size+41%2C+Color%3A+Bold+Jade%2FFaded+Green-Green&tbm=shop,Y,https://www.amazon.com/dp/B0C7KJM93W?psc=1,"https://www.google.com/shopping/product/11106043412084454540/offers?q=0809410224545&prds=cid:11106043412084454540,cond:1",eBay,34.9,59.33,65.96,,N,Y,none
Birkenstock 1015480141 Barbados Navy Eva R 41,222168,230113,39.8,3,39.8,$104.00,$79.95,A1C20BH4U0AX41,1,B08216BTSK,802436765917,802436765917,B07ZS6Y3S7,Birkenstock,yes,GB0802436765917,https://www.google.com/search?q=0802436765917+Birkenstock+1015480141+Barbados+Navy+Eva+R+41&tbm=shop,Y,https://www.amazon.com/dp/B08216BTSK?psc=1,"https://www.google.com/shopping/product/13438825921047859882/offers?q=0802436765917&prds=cid:13438825921047859882,cond:1",eBay - ogshoe,39.9,67.83,75.41,,N,Y,none
"Birkenstock Original Milano ESD Birko Flor Narrow Width, Black L4 35,0",466610,585078,,,148.98,$148.98,$111.67,A2PM2LFH21HQNQ,1,B00EFXUTY0,4.05E+12,4052001199289,B00INUXPD8,Birkenstock,no,GB4052001199289,https://www.google.com/search?q=4052001199289+Birkenstock+Original+Milano+ESD+Birko+Flor+Narrow+Width%2C+Black+L4+35%2C0&tbm=shop,N,https://www.amazon.com/dp/B00EFXUTY0?psc=1,Not Found,Not Found,,,,,N,Y,none
Birkenstock Tokio Super Grip Natural Leather Black Size EU 43 / US M10 Regular,174182,237235,189.95,6,179.44,$264.95,$203.24,A2PM2LFH21HQNQ,1,B000QDYGCY,4.01E+12,4013871084983,B00GV3VBWG,Birkenstock,yes,GB4013871084983,https://www.google.com/search?q=4013871084983+Birkenstock+Tokio+Super+Grip+Natural+Leather+Black+Size+EU+43+%2F+US+M10+Regular&tbm=shop,N,https://www.amazon.com/dp/B000QDYGCY?psc=1,Not Found,Not Found,,,,,N,Y,none
"Birkenstock Arizona Shearling Suede Leather Narrow Unisex Shoes Size 6, Color: Black",231433,229108,144.9,1,144.9,$144.90,,-,0,B0CRD664Z5,809410216366,809410216366,B01NCNBCCK,Birkenstock,yes,GB0809410216366,https://www.google.com/search?q=0809410216366+Birkenstock+Arizona+Shearling+Suede+Leather+Narrow+Unisex+Shoes+Size+6%2C+Color%3A+Black&tbm=shop,N,https://www.amazon.com/dp/B0CRD664Z5?psc=1,Not Found,Not Found,,,,,N,Y,none
"Birkenstock - Arizona Big Buckle - 1011072, blue, 7",222537,223397,340.85,1,321.95,$321.95,$332.95,A3LKHEMJ2S42DV,1,B09XKM5342,4.06E+12,4061417550584,B01NCNBCCK,Birkenstock,no,GB4061417550584,https://www.google.com/search?q=4061417550584+Birkenstock+-+Arizona+Big+Buckle+-+1011072%2C+blue%2C+7&tbm=shop,N,https://www.amazon.com/dp/B09XKM5342?psc=1,Not Found,Not Found,,,,,N,Y,none
"Birkenstock Arizona Fur Suede Leather Unisex Shoes Size 12, Color: Light-Brown",226425,233989,159.9,1,159.9,$159.90,$159.90,A8J09E2FDMZCY,1,B0CRJV4WKM,809410391629,809410391629,B01NCNBCCK,Birkenstock,yes,GB0809410391629,https://www.google.com/search?q=0809410391629+Birkenstock+Arizona+Fur+Suede+Leather+Unisex+Shoes+Size+12%2C+Color%3A+Light-Brown&tbm=shop,N,https://www.amazon.com/dp/B0CRJV4WKM?psc=1,Not Found,Not Found,,,,,N,Y,none
"Birkenstock Arizona Shearling Narrow Unisex Shoes Size 5, Color: Black",235022,229067,144.9,2,144.9,$144.90,,-,0,B0CRCWDGJP,809410450678,809410450678,B01NCNBCCK,Birkenstock,yes,GB0809410450678,https://www.google.com/search?q=0809410450678+Birkenstock+Arizona+Shearling+Narrow+Unisex+Shoes+Size+5%2C+Color%3A+Black&tbm=shop,Y,https://www.amazon.com/dp/B0CRCWDGJP?psc=1,"https://www.google.com/shopping/product/8790214112147750541/offers?q=0809410450678&prds=cid:8790214112147750541,cond:1",Not Found,,,,,N,Y,none
Birkenstock Unisex Arizona Big Buckle Birko-Flor Graceful Taupe Sandals 9 W / 7 M US,221470,228514,126.51,1,126.51,$230.95,$129.37,AB8PP5ABO5Y5C,2,B09T6MG7G8,4.06E+12,4061417302145,B01NCNBCCK,Birkenstock,no,GB4061417302145,https://www.google.com/search?q=4061417302145+Birkenstock+Unisex+Arizona+Big+Buckle+Birko-Flor+Graceful+Taupe+Sandals+9+W+%2F+7+M+US&tbm=shop,N,https://www.amazon.com/dp/B09T6MG7G8?psc=1,"https://www.google.com/shopping/product/5454101225196319599/offers?q=4061417302145&prds=cid:5454101225196319599,cond:1",HSN,140,238,264.6,,N,Y,none
"Birki Unisex Clogs & Mules, Yellow, 9 US Men",205516,216097,,,,$71.20,,-,,B00432JNZY,4.04E+12,4039855624877,B00I84NRP0,Birkenstock,no,GB4039855624877,https://www.google.com/search?q=4039855624877+Birki+Unisex+Clogs+%26+Mules%2C+Yellow%2C+9+US+Men&tbm=shop,N,https://www.amazon.com/dp/B00432JNZY?psc=1,"https://www.google.com/shopping/product/9056734179931482937/offers?q=4039855624877&prds=cid:9056734179931482937,cond:1",eBay - la_via,65.99,112.18,124.72,124.72,Y,Y,none
"Birkenstock Men's Open Toe, White, 48 EU Étroit",219391,229827,,,144.95,$165.00,$157.61,A3LKHEMJ2S42DV,2,B000MSW0L2,4.01E+12,4013871367307,B01NCNBCCK,Birkenstock,no,GB4013871367307,https://www.google.com/search?q=4013871367307+Birkenstock+Men%27s+Open+Toe%2C+White%2C+48+EU+%C3%89troit&tbm=shop,N,https://www.amazon.com/dp/B000MSW0L2?psc=1,Not Found,Not Found,,,,,N,Y,none
Birkenstock Arizona Soft Footbed Vegan Leather (Suede) Standard Fitting Sandal 8-8.5 Suede Taupe,309062,578367,218.47,1,194.67,$299.95,$218.47,A2PM2LFH21HQNQ,2,B0725NQZHP,4.04E+12,4040714342702,B0CHSH6BK4,Birkenstock,no,GB4040714342702,https://www.google.com/search?q=4040714342702+Birkenstock+Arizona+Soft+Footbed+Vegan+Leather+%28Suede%29+Standard+Fitting+Sandal+8-8.5+Suede+Taupe&tbm=shop,N,https://www.amazon.com/dp/B0725NQZHP?psc=1,"https://www.google.com/shopping/product/2818206606117500957/offers?q=4040714342702&prds=cid:2818206606117500957,cond:1",eBay,130,221,245.7,,N,Y,none
"Birkenstock Kay SL WB NL Men's Clogs, Color: White, Size: 42 EU, W 11-11.5, M 9-9.5",504482,486531,208.32,1,184.52,$205.00,$208.32,A2PM2LFH21HQNQ,1,B00N1OG3OY,4.05E+12,4052001428884,B013H0F612,Birkenstock,no,GB4052001428884,https://www.google.com/search?q=4052001428884+Birkenstock+Kay+SL+WB+NL+Men%27s+Clogs%2C+Color%3A+White%2C+Size%3A+42+EU%2C+W+11-11.5%2C+M+9-9.5&tbm=shop,N,https://www.amazon.com/dp/B00N1OG3OY?psc=1,"https://www.google.com/shopping/product/3902427621142094860/offers?q=4052001428884&prds=cid:3902427621142094860,cond:1",END. Clothing,125,212.5,236.25,,N,Y,none
"Birkenstock Milano Sandal,Mocha Birkibuc,48 M EU",634285,1074744,,,135,$135.00,$135.00,A1C20BH4U0AX41,1,B001EJNITG,736399455618,736399455618,B0CP1TKRKT,Birkenstock,no,GB0736399455618,https://www.google.com/search?q=0736399455618+Birkenstock+Milano+Sandal%2CMocha+Birkibuc%2C48+M+EU&tbm=shop,N,https://www.amazon.com/dp/B001EJNITG?psc=1,Not Found,Not Found,,,,,N,Y,none
"Birkenstock Arizona Shearling Suede Leather Unisex Shoes Size 9, Color: Star Core Black-Black",213188,221194,159.9,1,159.9,$159.90,,-,0,B0CRJZYF2D,809410293282,809410293282,B01NCNBCCK,Birkenstock,yes,GB0809410293282,https://www.google.com/search?q=0809410293282+Birkenstock+Arizona+Shearling+Suede+Leather+Unisex+Shoes+Size+9%2C+Color%3A+Star+Core+Black-Black&tbm=shop,N,https://www.amazon.com/dp/B0CRJZYF2D?psc=1,Not Found,Not Found,,,,,N,Y,none
"Birkenstock Papillio Arizona Flex Platform Sandals, White, EU 36 (US 5-5.5)",355674,384740,,,185.95,$205.98,$203.64,A1B43WMIJ58I3U,2,B0CN3465K7,192761937203,192761937203,B0CSMB6JBF,Birkenstock,yes,GB0192761937203,https://www.google.com/search?q=0192761937203+Birkenstock+Papillio+Arizona+Flex+Platform+Sandals%2C+White%2C+EU+36+%28US+5-5.5%29&tbm=shop,Y,https://www.amazon.com/dp/B0CN3465K7?psc=1,"https://www.google.com/shopping/product/17076610113131640033/offers?q=0192761937203&prds=cid:17076610113131640033,cond:1",Footwear Express,114.95,195.41,217.26,,N,Y,none
Birkenstock Unisex Clogs Super-Birki - Blue - Men 12-12.5,202757,206102,99.95,2,99.95,$125.87,$94.29,A1C20BH4U0AX41,1,B000KCZ9JA,4.01E+12,4013871267782,B00I84NRP0,Birkenstock,no,GB4013871267782,https://www.google.com/search?q=4013871267782+Birkenstock+Unisex+Clogs+Super-Birki+-+Blue+-+Men+12-12.5&tbm=shop,N,https://www.amazon.com/dp/B000KCZ9JA?psc=1,"https://www.google.com/shopping/product/6556150278419984343/offers?q=4013871267782&prds=cid:6556150278419984343,cond:1",Not Found,,,,,N,Y,none
Birkenstock Unisex Clogs Super-Birki - Red - Woman 5-5.5,207841,215029,79.95,2,79.95,$127.95,$85.89,-,0,B000KCXC8U,4.01E+12,4013871267218,B00I84NRP0,Birkenstock,yes,GB4013871267218,https://www.google.com/search?q=4013871267218+Birkenstock+Unisex+Clogs+Super-Birki+-+Red+-+Woman+5-5.5&tbm=shop,N,https://www.amazon.com/dp/B000KCXC8U?psc=1,"https://www.google.com/shopping/product/1365938531812058707/offers?q=4013871267218&prds=cid:1365938531812058707,cond:1",BIRKENSTOCK,85.9,146.03,162.35,,N,Y,none
"Birkenstock Unisex Slingback Milano White Birko-Flor, Multi, 9 Narrow US Women",256444,331779,110,1,110,$229.95,$115.72,A1C20BH4U0AX41,2,B000MSZX3O,"0736399124972, 4013871638841, 4013871087847","0736399124972, 4013871638841, 4013871087847",B003AM95EM,Birkenstock,no,"GB0736399124972, 4013871638841, 4013871087847",https://www.google.com/search?q=0736399124972%2C+4013871638841%2C+4013871087847+Birkenstock+Unisex+Slingback+Milano+White+Birko-Flor%2C+Multi%2C+9+Narrow+US+Women&tbm=shop,N,https://www.amazon.com/dp/B000MSZX3O?psc=1,"https://www.google.com/shopping/product/15780773200371652334/offers?q=0736399124972&prds=cid:15780773200371652334,cond:1",BIRKENSTOCK,105.9,180.03,200.15,,N,Y,none
"Birkenstock Milano Smooth Leather, Unisex Adults' Sandals, Brown (Dunkelbraun), 10.5 UK Slim",248878,319798,,,186.95,$230.95,$218.99,A3LKHEMJ2S42DV,3,B003AQCR2A,"4013871028406, 0736399033366","4013871028406, 0736399033366",B003AM95EM,Birkenstock,no,"GB4013871028406, 0736399033366",https://www.google.com/search?q=4013871028406%2C+0736399033366+Birkenstock+Milano+Smooth+Leather%2C+Unisex+Adults%27+Sandals%2C+Brown+%28Dunkelbraun%29%2C+10.5+UK+Slim&tbm=shop,N,https://www.amazon.com/dp/B003AQCR2A?psc=1,Not Found,Not Found,,,,,N,Y,none
"Birkenstock Women's Granada Slide Sandal,Tobacco Oiled Leather ,36 M EU",232774,243202,135,1,134.99,$270.01,$135.00,A1C20BH4U0AX41,1,B0047852YU,809410896049,809410896049,B004S98O6G,Birkenstock,no,GB0809410896049,https://www.google.com/search?q=0809410896049+Birkenstock+Women%27s+Granada+Slide+Sandal%2CTobacco+Oiled+Leather+%2C36+M+EU&tbm=shop,Y,https://www.amazon.com/dp/B0047852YU?psc=1,"https://www.google.com/shopping/product/14752879683049148250/offers?q=0809410896049&prds=cid:14752879683049148250,cond:1",Footwear Express,144.95,246.41,273.96,,N,Y,none
Birkenstock 1022376339 Arzizona V White Bb N 39,240119,261586,170,2,170,$183.18,$199.93,ANZYNJW9IIF9C,1,B09N5LZXFN,887759588283,887759588283,B004S98O6G,Birkenstock,yes,GB0887759588283,https://www.google.com/search?q=0887759588283+Birkenstock+1022376339+Arzizona+V+White+Bb+N+39&tbm=shop,N,https://www.amazon.com/dp/B09N5LZXFN?psc=1,Not Found,Not Found,,,,,N,Y,none
"Birkenstock Women's Granada Soft Footbed Sandal,Habana Oiled Leather,38 M EU",228578,241877,140,1,140,$259.07,$149.44,A1C20BH4U0AX41,1,B002LZUPM0,809410759375,809410759375,B004S98O6G,Birkenstock,no,GB0809410759375,https://www.google.com/search?q=0809410759375+Birkenstock+Women%27s+Granada+Soft+Footbed+Sandal%2CHabana+Oiled+Leather%2C38+M+EU&tbm=shop,Y,https://www.amazon.com/dp/B002LZUPM0?psc=1,"https://www.google.com/shopping/product/10302727658289793906/offers?q=0809410759375&prds=cid:10302727658289793906,cond:1",ssense.com,130,221,245.7,,N,Y,none
"Birkenstock Women's Granada Sandal, Mocha, 39 N EU",237168,251488,155,4,155,$203.54,$155.00,A1C20BH4U0AX41,1,B017PCWYYK,886925256407,886925256407,B004S98O6G,Birkenstock,no,GB0886925256407,https://www.google.com/search?q=0886925256407+Birkenstock+Women%27s+Granada+Sandal%2C+Mocha%2C+39+N+EU&tbm=shop,Y,https://www.amazon.com/dp/B017PCWYYK?psc=1,"https://www.google.com/shopping/product/6398235356870186327/offers?q=0886925256407&prds=cid:6398235356870186327,cond:1",Englin's Fine Footwear,104.95,178.41,198.36,,N,Y,none
"Birkenstock Unisex-Adult Arizona Adjustable Sandals (Velvet Gray Suede Soft Footbed, US Footwear Size System, Adult, Women, Numeric Range, Medium, 9, 9.5)",75414,26968,,,139.95,$139.95,,-,0,B0CR5C5PBS,736399995039,736399995039,B0CZ1MTFP8,Birkenstock,yes,GB0736399995039,https://www.google.com/search?q=0736399995039+Birkenstock+Unisex-Adult+Arizona+Adjustable+Sandals+%28Velvet+Gray+Suede+Soft+Footbed%2C+US+Footwear+Size+System%2C+Adult%2C+Women%2C+Numeric+Range%2C+Medium%2C+9%2C+9.5%29&tbm=shop,Y,https://www.amazon.com/dp/B0CR5C5PBS?psc=1,"https://www.google.com/shopping/product/9138582692225993092/offers?q=0736399995039&prds=cid:9138582692225993092,cond:1",Not Found,,,,,N,Y,none
"Birkenstock Unisex-Adult Arizona Adjustable Sandals (Velvet Gray Suede Soft Footbed, US Footwear Size System, Adult, Women, Numeric Range, Narrow, 9, 9.5)",38348,16394,,,139.95,$139.95,,-,0,B0CR5DFSB7,736399994858,736399994858,B0CZ1MTFP8,Birkenstock,yes,GB0736399994858,https://www.google.com/search?q=0736399994858+Birkenstock+Unisex-Adult+Arizona+Adjustable+Sandals+%28Velvet+Gray+Suede+Soft+Footbed%2C+US+Footwear+Size+System%2C+Adult%2C+Women%2C+Numeric+Range%2C+Narrow%2C+9%2C+9.5%29&tbm=shop,Y,https://www.amazon.com/dp/B0CR5DFSB7?psc=1,"https://www.google.com/shopping/product/5356324484250550042/offers?q=0736399994858&prds=cid:5356324484250550042,cond:1",Orleans Shoe Co.,145,246.5,274.05,,N,Y,none
"Birkenstock Unisex-Adult Arizona Adjustable Sandals (White Birko-Flor, US Footwear Size System, Adult, Women, Numeric Range, Narrow, 4, 4.5)",35371,15619,109.95,1,109.95,$109.95,,-,0,B0CR4JP82M,736399993493,736399993493,B0CZ1MTFP8,Birkenstock,yes,GB0736399993493,https://www.google.com/search?q=0736399993493+Birkenstock+Unisex-Adult+Arizona+Adjustable+Sandals+%28White+Birko-Flor%2C+US+Footwear+Size+System%2C+Adult%2C+Women%2C+Numeric+Range%2C+Narrow%2C+4%2C+4.5%29&tbm=shop,N,https://www.amazon.com/dp/B0CR4JP82M?psc=1,Not Found,Not Found,,,,,N,Y,none
"Birkenstock Unisex-Adult Arizona Adjustable Sandals (Stone Birkibuc, US Footwear Size System, Adult, Women, Numeric Range, Narrow, 7, 7.5)",185304,185304,109.95,12,109.95,$129.95,,-,0,B0CR4ZNP3Y,736399994230,736399994230,B0CZ1MTFP8,Birkenstock,yes,GB0736399994230,https://www.google.com/search?q=0736399994230+Birkenstock+Unisex-Adult+Arizona+Adjustable+Sandals+%28Stone+Birkibuc%2C+US+Footwear+Size+System%2C+Adult%2C+Women%2C+Numeric+Range%2C+Narrow%2C+7%2C+7.5%29&tbm=shop,N,https://www.amazon.com/dp/B0CR4ZNP3Y?psc=1,Not Found,Not Found,,,,,N,Y,none
